#,Geochemistry Reference,Province,Location,Sample Name,Rock Type,Latitude,Longitude,Age,Age reference,Sm (ppm),Nd (ppm),Rb (ppm),Sr (ppm),U (ppm),Pb (ppm),Th (ppm),143Nd/144Nd measured,87Sr/86Sr measured,206Pb/204Pb measured,207Pb/204Pb measured,208Pb/204Pb measured,147Sm/144Nd,143Nd/144Nd_i,87Rb/86Sr,87Sr/86Sr_i,238U/204Pb,235U/204Pb,232Th/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i
158,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-92 ,Basalt ,-48.85,69.13,28,[82],4.4,18.7,12.2,311.0,0.3,1.5,1.4,0.512774,0.704516,18.334,15.516,38.690,0.142,0.512748,0.113,0.704471,13.58,0.10,59.97,18.275,15.513,38.607
155,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-87 ,Basalt ,-48.85,69.13,28,[82],3.4,12.2,3.0,204.0,0.1,1.1,0.4,0.512751,0.704435,,,,0.169,0.512720,0.043,0.704418,0.09,0.00,0.36,,,
165,[42],Kerguelen Archipelago,Mont Fontaine,s BY96-89 ,Basalt ,-48.85,69.13,28,[82],2.0,6.8,1.1,141.0,0.1,1.0,0.2,0.512803,0.704348,18.521,15.559,38.860,0.179,0.512770,0.023,0.704339,3.28,0.02,14.90,18.507,15.558,38.839
113,[79],Kerguelen Archipelago,Mont Rabouillere,s GM92-150 ,"Basalt, Transitional ",-48.55,68.5,29,[70],9.5,44.2,15.2,376.0,0.5,2.2,3.6,0.512603,0.705170,18.250,15.553,38.890,0.130,0.512578,0.117,0.705122,14.25,0.10,106.30,18.186,15.550,38.737
116,[79],Kerguelen Archipelago,Mont Rabouillere,s GM92-131 ,"Basalt, Transitional ",-48.55,68.5,29,[70],9.1,38.9,26.8,365.0,0.5,2.1,3.2,0.512649,0.705190,18.416,15.568,38.880,0.141,0.512622,0.212,0.705103,14.96,0.11,99.87,18.348,15.565,38.737
115,[79],Kerguelen Archipelago,Mont Rabouillere,s GM92-136 ,"Basalt, Transitional ",-48.55,68.5,29,[70],8.1,35.8,39.0,338.0,0.5,2.1,2.8,0.512635,0.705216,18.272,15.574,38.950,0.136,0.512609,0.334,0.705079,14.95,0.11,86.49,18.204,15.571,38.826
114,[79],Kerguelen Archipelago,Mont Rabouillere,s GM92-146 ,"Basalt, Transitional ",-48.55,68.5,29,[70],3.9,14.4,3.9,276.0,0.1,0.4,1.4,0.512681,0.704456,18.384,15.586,38.940,0.164,0.512650,0.041,0.704439,17.46,0.13,258.08,18.305,15.582,38.569
231,[74],Kerguelen Archipelago,Mont Rouge,s LVLK88 ,"Basalt, Alkaline  / Basalt ",-48.55,68.5,25,[70],5.0,23.2,24.0,406.0,0.6,2.3,2.4,0.512720,0.705270,18.539,15.591,39.193,0.131,0.512699,0.171,0.705209,16.49,0.12,68.74,18.475,15.588,39.108
230,[74],Kerguelen Archipelago,Mont Rouge,s LVLK87 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],6.3,28.5,30.0,471.0,0.7,2.5,3.6,0.512650,0.705190,18.440,15.553,39.012,0.134,0.512628,0.184,0.705125,17.63,0.13,92.38,18.371,15.550,38.898
264,[8],Kerguelen Archipelago,Mont Trapeze,s AG99-182 ,"Basalt, Transitional ",-49.3,70.06,24,[70],5.6,26.3,27.5,406.0,0.7,2.0,3.2,0.512653,0.705233,18.405,15.549,38.945,0.129,0.512633,0.196,0.705166,22.00,0.16,103.94,18.323,15.545,38.821
232,[74],Kerguelen Archipelago,Mount Berlioz,s ARC195 ,Basanitoid ,-48.55,68.5,25,[70],15.1,85.4,63.3,1097.0,2.3,8.5,10.7,0.512540,0.705620,18.263,15.569,38.923,0.107,0.512523,0.167,0.705561,16.98,0.12,81.61,18.197,15.566,38.822
118,[79],Kerguelen Archipelago,Mount Bureau,s GM92-59 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],5.0,20.1,3.8,339.0,0.1,0.7,1.7,0.512577,0.705511,18.226,15.536,38.940,0.151,0.512548,0.032,0.705498,10.75,0.08,157.34,18.177,15.534,38.714
123,[79],Kerguelen Archipelago,Mount Bureau,s GM92-30 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],7.9,36.0,23.5,373.0,,2.2,2.7,0.512577,0.705288,18.127,15.521,38.770,0.132,0.512552,0.182,0.705213,0.00,0.00,78.33,18.127,15.521,38.658
124,[79],Kerguelen Archipelago,Mount Bureau,s GM92-29 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],8.9,43.3,28.9,345.0,0.6,2.6,3.1,0.512618,0.705276,18.129,15.537,38.800,0.125,0.512594,0.242,0.705176,14.66,0.11,77.00,18.063,15.534,38.689
122,[79],Kerguelen Archipelago,Mount Bureau,s GM92-31 ,"Basalt, Transitional ",-48.55,68.5,29,[70],8.7,36.7,27.8,340.0,0.6,2.3,2.7,0.512627,0.705133,18.248,15.512,38.790,0.144,0.512600,0.237,0.705036,14.96,0.11,75.90,18.180,15.509,38.681
121,[79],Kerguelen Archipelago,Mount Bureau,s GM92-46 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],3.2,10.8,1.4,226.0,0.0,3.8,0.2,0.512775,0.704587,18.257,15.491,38.490,0.179,0.512741,0.018,0.704580,0.49,0.00,3.22,18.255,15.491,38.485
119,[79],Kerguelen Archipelago,Mount Bureau,s GM92-52 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],5.3,23.0,11.2,374.0,0.3,1.1,1.4,0.512787,0.704094,18.482,15.556,38.830,0.139,0.512761,0.087,0.704058,18.91,0.14,79.87,18.397,15.552,38.715
120,[79][59],Kerguelen Archipelago,Mount Bureau,s GM92-48 ,"Basalt, Transitional  / Basalt ",-48.55,68.5,29,[70],3.3,12.9,5.8,252.0,0.1,0.3,0.7,0.512879,0.703965,18.475,15.564,38.550,0.156,0.512849,0.067,0.703938,18.55,0.14,155.73,18.391,15.560,38.326
117,[63],Kerguelen Archipelago,Mount Bureau,s KG4-1 ,Basalt ,-48.55,68.5,29,[70],,,,,,,,0.512870,0.704070,18.483,15.521,38.693,,,,,,,,,,
195,[78],Kerguelen Archipelago,Mount Capitole,s 93-490 ,Basalt ,-48.55,68.5,26,[70],7.2,29.4,4.6,344.0,0.5,2.0,2.7,0.512694,0.705046,18.377,15.551,38.810,0.147,0.512669,0.039,0.705032,16.01,0.12,86.21,18.312,15.548,38.699
191,[78],Kerguelen Archipelago,Mount Capitole,s 93-476 ,Basalt ,-48.55,68.5,26,[70],7.1,30.1,6.3,323.0,0.6,2.2,3.0,0.512686,0.704913,18.395,15.545,38.875,0.142,0.512662,0.057,0.704892,18.25,0.13,87.87,18.321,15.541,38.762
186,[78],Kerguelen Archipelago,Mount Capitole,s 93-459 ,Basalt ,-48.55,68.5,26,[70],4.2,18.2,8.0,410.0,0.3,1.4,1.8,0.512685,0.704835,18.442,15.551,38.970,0.140,0.512661,0.056,0.704814,14.12,0.10,83.20,18.385,15.549,38.863
187,[78],Kerguelen Archipelago,Mount Capitole,s 93-463 ,Basalt ,-48.55,68.5,26,[70],4.4,18.6,8.5,331.0,0.3,1.4,1.6,0.512967,0.704832,18.397,15.540,38.882,0.144,0.512942,0.074,0.704805,13.86,0.10,76.43,18.341,15.537,38.784
188,[78],Kerguelen Archipelago,Mount Capitole,s 93-465 ,Basalt ,-48.55,68.5,26,[70],4.1,17.2,9.9,349.0,0.3,1.3,1.5,0.512693,0.704828,18.419,15.543,38.894,0.145,0.512668,0.082,0.704798,15.71,0.12,78.83,18.356,15.540,38.792
197,[78],Kerguelen Archipelago,Mount Capitole,s 93-507 ,Basalt ,-48.55,68.5,26,[70],8.4,35.0,19.6,322.0,0.8,2.8,3.4,0.512706,0.704841,18.420,15.541,38.849,0.145,0.512681,0.176,0.704776,18.01,0.13,79.04,18.347,15.537,38.747
189,[78],Kerguelen Archipelago,Mount Capitole,s 93-471 ,Basalt ,-48.55,68.5,26,[70],4.7,20.1,8.6,331.0,0.3,1.4,1.6,0.512705,0.704802,18.404,15.542,38.866,0.142,0.512681,0.075,0.704774,13.11,0.10,73.95,18.351,15.540,38.771
198,[78],Kerguelen Archipelago,Mount Capitole,s 93-512 ,Basalt ,-48.55,68.5,26,[70],6.7,27.9,9.0,327.0,0.6,2.1,2.8,0.512717,0.704790,18.438,15.542,38.880,0.145,0.512692,0.079,0.704761,17.44,0.13,85.02,18.368,15.539,38.771
190,[78],Kerguelen Archipelago,Mount Capitole,s 93-472 ,Basalt ,-48.55,68.5,26,[70],4.2,17.6,6.2,389.0,0.2,1.1,1.3,0.512704,0.704772,18.472,15.554,38.941,0.145,0.512679,0.046,0.704755,9.69,0.07,78.49,18.433,15.552,38.840
192,[78],Kerguelen Archipelago,Mount Capitole,s 93-479 ,Basalt ,-48.55,68.5,26,[70],8.0,33.0,8.9,323.0,0.6,2.3,3.0,0.512717,0.704783,18.472,15.551,38.916,0.146,0.512692,0.079,0.704754,15.31,0.11,84.66,18.410,15.548,38.807
194,[78],Kerguelen Archipelago,Mount Capitole,s 93-483 ,Basalt ,-48.55,68.5,26,[70],9.0,37.2,14.1,347.0,0.7,2.4,3.3,0.512714,0.704776,18.439,15.552,38.899,0.146,0.512689,0.118,0.704733,17.17,0.13,87.77,18.369,15.549,38.786
196,[78],Kerguelen Archipelago,Mount Capitole,s 93-495 ,Basalt ,-48.55,68.5,26,[70],6.9,28.5,12.7,340.0,0.6,1.9,2.6,0.512722,0.704770,18.462,15.555,38.868,0.147,0.512697,0.108,0.704730,19.54,0.14,87.38,18.383,15.552,38.756
193,[78],Kerguelen Archipelago,Mount Capitole,s 93-482 ,Basalt ,-48.55,68.5,26,[70],7.8,31.8,5.4,297.0,0.5,2.2,2.8,0.512728,0.704716,18.456,15.549,38.876,0.148,0.512703,0.052,0.704697,14.96,0.11,83.17,18.396,15.546,38.769
199,[78],Kerguelen Archipelago,Mount Capitole,s 93-465 ,Basalt ,-48.55,68.5,26,[70],,,,,,,,0.512697,0.704808,18.419,15.542,38.892,,,,,,,,,,
200,[78],Kerguelen Archipelago,Mount Capitole,s 93-465 ,Basalt ,-48.55,68.5,26,[70],,,,,,,,0.512680,0.704875,18.424,15.546,38.912,,,,,,,,,,
201,[78],Kerguelen Archipelago,Mount Capitole,s 93-490 ,Basalt ,-48.55,68.5,26,[70],,,,,,,,0.512690,0.705039,18.391,15.552,38.830,,,,,,,,,,
202,[78],Kerguelen Archipelago,Mount Capitole,s 93-512 ,Basalt ,-48.55,68.5,26,[70],,,,,,,,0.512706,0.704803,18.445,15.549,38.900,,,,,,,,,,
233,[59],Kerguelen Archipelago,Mount Crozier,s OB93-177 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.480,15.568,39.129,,,,,,,,,,
234,[59],Kerguelen Archipelago,Mount Crozier,s OB93-177 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.446,15.561,39.059,,,,,,,,,,
235,[59],Kerguelen Archipelago,Mount Crozier,s OB93-177 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.449,15.561,39.060,,,,,,,,,,
236,[59],Kerguelen Archipelago,Mount Crozier,s OB93-177 ,"Basalt, Alkaline ",-48.55,68.5,25,[70],,,,,,,,,,18.453,15.562,39.061,,,,,,,,,,
