Sample,Ref,Ophiolite,Location/Unit,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Age_estimate_type,Age_ref,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
R9/5_1,[16],Internal Ligurides,,,,Basalt dyke,WR,MOR,164,Sm-Nd isochron,Rampone et al. 1998,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,2.723,9.248,,0.177998,0.513046,,0.513046,12.1,,,,0.705044,,,,,,,,,,,,,,,,,,,,,,
R4/23,[16],Internal Ligurides,,,,Basalt dyke,WR,MOR,164,Sm-Nd isochron,Rampone et al. 1998,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,2.783,9.476,,0.177574,0.513042,,0.513042,12.0,,,,0.705344,,,,,,,,,,,,,,,,,,,,,,
4-Al-00,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.23,4.91,,0.274,0.513081,6,,6.89,,,,,,,,,,,,,,,,,,,,,,,,,,
5-Al-00,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.24,3.05,,0.246,0.513035,8,,6.56,,,,,,,,,,,,,,,,,,,,,,,,,,
62a-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.22,14.13,,0.223,0.513041,6,,7.15,,,,,,,,,,,,,,,,,,,,,,,,,,
44-Al-00,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.44,8.54,,0.244,0.513059,6,,7.07,,,,,,,,,,,,,,,,,,,,,,,,,,
61-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.97,16.15,,0.223,0.513025,7,,6.84,,,,,,,,,,,,,,,,,,,,,,,,,,
58-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,6.05,16.39,,0.223,0.513022,7,,6.78,,,,,,,,,,,,,,,,,,,,,,,,,,
42-Al-00,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,6,16.26,,0.223,0.513024,6,,6.82,,,,,,,,,,,,,,,,,,,,,,,,,,
48-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.97,16.13,,0.224,0.513019,8,,6.7,,,,,,,,,,,,,,,,,,,,,,,,,,
45-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.97,16.24,,0.222,0.513014,9,,6.64,,,,,,,,,,,,,,,,,,,,,,,,,,
41-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,6.04,16.4,,0.223,0.51302,7,,6.74,,,,,,,,,,,,,,,,,,,,,,,,,,
38-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.53,8.66,,0.246,0.513067,7,,7.19,,,,,,,,,,,,,,,,,,,,,,,,,,
35-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.41,8.43,,0.244,0.513055,8,,7,,,,,,,,,,,,,,,,,,,,,,,,,,
32-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.53,8.66,,0.247,0.513067,7,,7.17,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,4.6,12.16,,0.229,0.513065,7,,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
25-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,8.22,25.18,,0.197,0.51303,6,,7.47,,,,,,,,,,,,,,,,,,,,,,,,,,
36-Al-00,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,4.39,11.54,,0.23,0.513059,6,,7.36,,,,,,,,,,,,,,,,,,,,,,,,,,
20-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,4.39,11.72,,0.227,0.513048,6,,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,
17-Al-01,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,4.86,13.28,,0.221,0.513042,8,,7.21,,,,,,,,,,,,,,,,,,,,,,,,,,
2-Al-00,[17],Mirdita,Western section,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.46,15.09,,0.219,0.513044,6,,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,
35-Al-00,[17],Mirdita,Western section,,,Dolerite,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.1,13.6,,0.227,0.513052,6,,7.28,,,,,,,,,,,,,,,,,,,,,,,,,,
70-Al-00,[17],Mirdita,Western section,,,Dolerite,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.7,3.17,,0.325,0.513193,6,,8.03,,,,,,,,,,,,,,,,,,,,,,,,,,
62-Al-01,[17],Mirdita,Western section,,,Dolerite,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.92,16.1,,0.223,0.513027,6,,6.88,,,,,,,,,,,,,,,,,,,,,,,,,,
55-Al-01,[17],Mirdita,Western section,,,Dolerite,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.26,2.36,,0.323,0.513172,7,,7.67,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Al-00,[17],Mirdita,Western section,,,Gabbro,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,0.75,1.84,,0.247,0.513089,6,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
41-Al-00,[17],Mirdita,Western section,,,Gabbro,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.34,16.04,,0.201,0.513035,6,,7.48,,,,,,,,,,,,,,,,,,,,,,,,,,
69-Al-00,[17],Mirdita,Western section,,,Gabbro,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,1.73,4.1,,0.255,0.513098,6,,7.61,,,,,,,,,,,,,,,,,,,,,,,,,,
GEL3,[18],External Ligurides,,,,ol-gabbro,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,0.49,1.41,,0.21,0.51,5.00,0.512851,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
AM46,[18],External Ligurides,,,,ol-gabbro,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,6.77,13.6,,0.3,0.513176,9,0.512852,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
CAV12,[18],External Ligurides,,,,Gabbro,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,1.58,4.68,,0.2045,0.513072,8,0.512851,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
AM118,[18],External Ligurides,,,,Basalt,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,3.07,10.75,,0.1729,0.513006,12,0.512819,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
D893,[18],External Ligurides,,,,Basalt,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,4.34,13.61,,0.193,0.513027,11,0.512819,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
AM55,[18],External Ligurides,,,,Basalt,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,2.91,9.95,,0.1771,0.513105,18,0.512914,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
AM92A,[18],External Ligurides,,,,Basalt,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,2.57,8.85,,0.1756,0.513139,19,0.51295,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,
IC21/9,[18],External Ligurides,,,,Basalt,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,4.35,14.18,,0.1854,0.513054,9,0.512854,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
IC21/8,[18],External Ligurides,,,,Basalt,WR,MOR,165,Estimated,"Montanini, 2008",Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,2.92,9.66,,0.1832,0.513018,7,0.51282,7.5,,,,,,,,,,,,,,,,,,,,,,,,,,
AR-03-25,[7],Sevan,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.18522,0.51276,11,,6.47,,,0.1326,0.1326,11,0.70412,,,,8.8411,11.1328,0.0818,18.2577,15.5033,37.9444,17.968,15.488,37.8713,,,,,,,,
AR-03-24,[7],Sevan,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.29064,0.51264,,,4.25,,,0.0058,0.0058,1,0.70399,,,,8.4704,10.2463,0.0753,17.9321,15.5344,37.8028,17.6658,15.521,37.7328,,,,,,,,
AR-03-10,[7],Sevan,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.21337,0.51268,44,,4.98,,,0.008,0.008,53,0.70386,,,,,,,,,,,,,,,,,,,,
AR-03-02,[7],Sevan,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.16855,0.51275,39,,6.27,,,0.064,0.064,48,0.70444,,,,,,,,,,,,,,,,,,,,
G154,[7],Sevan,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.20223,0.51275,38,,6.28,,,0.5785,0.5785,12,0.7037,,,,22.1422,13.7665,0.1011,18.8172,15.559,38.4167,18.4594,15.5411,38.2336,,,,,,,,
AR-04-30,[7],Stepanavan,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.21883,0.51291,3,,9.53,,,0.3765,0.3765,39,0.70519,,,,,,,,,,,,,,,,,,,,
AR-05-113,[7],Vedi,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.22032,0.51275,42,,6.35,,,0.0754,0.0754,13,0.70557,,,,63.7004,10.274,0.0755,17.8966,15.5524,37.7996,17.6296,15.5391,37.2729,,,,,,,,
AR-05-114,[7],Vedi,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.22032,0.51273,7,,5.88,,,0.0754,0.0754,1,0.70491,,,,63.5101,5.7363,0.0421,18.0686,15.4661,37.9304,17.9195,15.4587,37.4053,,,,,,,,
AR-05-106,[7],Vedi,,,,,WR,SSZ,165,Ar-Ar,Rolland et al. 2009,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,,,,0.21848,0.51277,6,,6.74,,,0.1087,0.1087,1,0.70565,,,,64.1466,10.6564,0.0783,18.4101,15.497,38.1116,18.1073,15.4897,37.5546,,,,,,,,
AL-1 ,[3],Mirdita,,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.81,10.62,,0.2170,0.513047,,,7.50,5.82,168.70,0.10,0.70387,,0.70363,0.5491 ,0.0454 ,0.0170 ,5.35 ,1.94 ,,18.145 ,15.474 ,37.795 ,18.10,15.47,37.75,,,,,,,,
AL-2 ,[3],Mirdita,,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,5.42,14.40,,0.2277,0.513041,,,7.20,0.17,77.92,0.01,0.70309,,0.70307,0.3164 ,0.0920 ,0.0255 ,19.0 ,5.11 ,,15.520 ,15.501 ,38.287 ,18.39,15.49,38.13,,,,,,,,
AL-4 ,[3],Mirdita,,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.45,9.11,,0.2288,0.513044,,,7.20,0.31,69.87,0.01,0.70444,,0.70441,0.1091 ,0.1225 ,0.0565 ,73.9 ,33.0 ,,18.620 ,15.531 ,38.558 ,17.76,15.49,37.95,,,,,,,,
IA-509 ,[3],Mirdita,,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.34,4.94,,0.2860,0.513100,,,7.10,2.30,148.30,0.04,0.70451,,0.70440,0.1036 ,0.0587 ,0.0214 ,37.4 ,13.2 ,,18.856 ,15.491 ,38.632 ,18.51,15.47,38.32,,,,,,,,
RU-124 ,[3],Mirdita,,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,2.76,6.00,,0.2784,0.513107,,,7.40,0.14,50.03,0.01,0.70365,,0.70363,0.4869 ,0.0770 ,0.0209 ,10.2 ,2.68 ,,18.103 ,15.470 ,37.755 ,18.03,15.47,37.67,,,,,,,,
RU-143 ,[3],Mirdita,,,,Basalt,WR,MOR,165,U-Pb,Dilek et al. 2007,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,3.13,9.11,,0.2075,0.513052,,,7.80,4.42,63.30,0.20,0.70397,,0.70349,0.0845 ,0.1822 ,0.0404 ,143 ,30.7 ,,18.910 ,15.529 ,38.953 ,18.11,15.49,37.78,,,,,,,,
11-DC-1,[9],Dongco,,,,Gabbro,,MOR,167,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.34,0.78,,0.2627,0.513095,4,,7.5,3.9,92,0.1219,0.704093,5,0.7038,,,,,,,,,,,,,,,,,,,,
11-DC-3,[9],Dongco,,,,Gabbro,,MOR,167,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.21,0.39,,0.3341,0.513125,14,,6.6,0.3,67.2,0.0114,0.70342,4,0.7034,,,,,,,,,,,,,,,,,,,,
11-DC-6,[9],Dongco,,,,Gabbro,,MOR,167,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.93,2.38,,0.2371,0.513067,4,,7.5,2.1,75.5,0.0812,0.703488,4,0.7033,,,,,,,,,,,,,,,,,,,,
11-DC-16,[9],Dongco,,,,Gabbro,,MOR,167,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.89,2.49,,0.218,0.513074,6,,8.1,3.3,91.5,0.1051,0.703638,4,0.7034,,,,,,,,,,,,,,,,,,,,
GZ-10-1,[5],Laguoco,,,,Basalt,,MOR,167,U-Pb,Zhang et al. 2007,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.12,6.57,,0.195,0.513036,11,,7.81,1.57,120,0.0377,0.705089,10,0.705,,,,,,,,,,,,,,,,,,,,
1354-8,[5],Ritu,,,,Gabbro,,MOR,167,U-Pb,"Shi, 2007",Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,3.11,9.37,,0.2012,0.513042,10,,7.88,,,,,,,,,,,,,,,,,,,,,,,,,,
11RT-23,[9],Rutog,,,,Basalt,,MOR,169,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.35,7.29,,0.1964,0.512912,5,,5.4,17,106,0.4614,0.70571,4,0.7046,,,,,,,,,,,,,,,,,,,,
11RT-24,[9],Rutog,,,,Basalt,,MOR,169,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.4,3.61,,0.2365,0.513083,4,,7.8,9.89,112,0.2546,0.705358,3,0.7047,,,,,,,,,,,,,,,,,,,,
11RT-28,[9],Rutog,,,,Basalt,,MOR,169,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.06,5.94,,0.2113,0.512956,3,,5.9,4.69,75.1,0.1805,0.705534,4,0.7051,,,,,,,,,,,,,,,,,,,,
11RT-32,[9],Rutog,,,,Basalt,,MOR,169,U-Pb,Wang et al. 2006,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.23,6.56,,0.2074,0.512961,7,,6.1,3.06,219,0.0405,0.706386,3,0.7063,,,,,,,,,,,,,,,,,,,,
MF1,[19],Cecina Valley,,,,Gabbro,WR,MOR,170,Sm-Nd isochron,Tribuzio et al. 2004,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,0.774,2.1,,0.222902,0.513104,4,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
13MD345,[20],Myiktyina,,,,Gabbro,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.16,0.68,,0.1393,0.512875,28,0.512718,5.9,0.17,446,0.0011,0.704795,10,0.704792,,,,,,,,,,,,,,0.05,1.17,0.0061,0.283081,0.000005,0.283061,13.6
13MD346,[20],Myiktyina,,,,Gabbro,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.82,2.34,,0.2139,0.513024,37,0.512783,7.2,0.92,382,0.007,0.704013,14,0.703996,,,,,,,,,,,,,,0.15,0.44,0.0483,0.283212,0.00001,0.283055,13.4
13MD347,[20],Myiktyina,,,,Gabbro,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.74,4.87,,0.2175,0.512839,44,0.512594,3.5,3.29,223,0.0426,0.706713,20,0.706609,,,,,,,,,,,,,,0.3,1.33,0.032,0.283172,0.000008,0.283069,13.9
13MD348,[20],Myiktyina,,,,Gabbro,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.05,0.16,,0.2043,0.512772,82,0.512542,2.4,1.11,184,0.0174,0.70398,14,0.703938,,,,,,,,,,,,,,0.02,0.03,0.0945,0.283482,0.000076,0.283176,17.7
13MD358,[20],Myiktyina,,,,Gabbro,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.04,0.16,,0.1581,0.512746,53,0.512568,3,0.78,193,0.0118,0.70405,13,0.704021,,,,,,,,,,,,,,0.01,0.02,0.0708,0.283609,0.000135,0.283379,24.9
13MD349,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.25,1.14,,0.1331,0.512692,65,0.512542,2.4,1.12,576,0.0056,0.706467,9,0.706453,,,,,,,,,,,,,,0.06,0.68,0.0125,0.283104,0.000007,0.283064,13.7
13MD349-R,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.25,1.12,,0.1331,0.512762,37,0.512612,3.8,1.08,585,0.0054,0.706436,9,0.706423,,,,,,,,,,,,,,0.06,0.61,0.0139,0.283105,0.000008,0.283059,13.6
13MD350,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.49,3.03,,0.0982,0.512901,13,0.51279,7.3,1.53,414,0.0107,0.705882,10,0.705856,,,,,,,,,,,,,,0.1,4.92,0.0029,0.283066,0.000007,0.283057,13.5
13MD351,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.79,3.84,,0.1249,0.512949,17,0.512809,7.7,11.65,1351,0.025,0.704294,12,0.704233,,,,,,,,,,,,,,0.15,2.9,0.0073,0.283076,0.000006,0.283052,13.3
13MD352,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.28,4.91,,0.1586,0.512929,14,0.512751,6.5,2.42,252,0.0277,0.70406,15,0.703992,,,,,,,,,,,,,,0.39,4.91,0.0113,0.283105,0.000006,0.283068,13.9
13MD353,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.23,1.52,,0.0906,0.512778,23,0.512676,5.1,2.91,169,0.0499,0.70516,13,0.705038,,,,,,,,,,,,,,0.1,3.03,0.0047,0.283074,0.000004,0.283059,13.5
13MD354,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.42,2.29,,0.111,0.512873,17,0.512749,6.5,0.6,111,0.0156,0.703836,18,0.703798,,,,,,,,,,,,,,0.21,6.68,0.0045,0.283081,0.000006,0.283066,13.8
13MD355,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.59,3.07,,0.1164,0.512905,11,0.512775,7,5.45,139,0.1138,0.704288,14,0.704009,,,,,,,,,,,,,,0.24,5.77,0.0059,0.283088,0.000007,0.283069,13.9
13MD356,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.22,1.14,,0.115,0.512851,26,0.512722,6,0.16,163,0.0028,0.704465,16,0.704458,,,,,,,,,,,,,,0.11,3.13,0.005,0.283078,0.000006,0.283061,13.6
13MD357,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,0.49,3.02,,0.0978,0.512832,48,0.512722,6,0.51,349,0.0042,0.706002,13,0.705992,,,,,,,,,,,,,,0.02,0.24,0.0118,0.283108,0.000017,0.28307,13.9
13MD360,[20],Myiktyina,,,,Plagiogranite,WR,SSZ,172,U-Pb,Liu et al. 2016,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.02,7.3,,0.0851,0.512888,14,0.512793,7.3,3.84,530,0.021,0.703959,14,0.703908,,,,,,,,,,,,,,0.06,0.66,0.0129,0.283092,0.000008,0.28305,13.2
CB17,[19],Cecina Valley,,,,Gabbro,WR,MOR,173,Sm-Nd isochron,Tribuzio et al. 2004,Alpine-Himalayan,Tethys,Alps,Post-Pangea Formation,1.1212,2.9284,,0.231552,0.513133,5,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ-31,[5],Gaize,,,,Diabase,WR,OIB,176,U-Pb,Qu et al. 2010,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.05,6.37,,0.1949,0.513041,10,,7.9,18.3,220,0.2416,0.708191,16,0.707618,,,,,,,,,,,,,,,,,,,,
GZ-32-1,[5],Gaize,,,,Basalt,WR,OIB,176,U-Pb,Qu et al. 2010,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,2.98,10.4,,0.1524,,,,,0.84,102,0.0238,0.704253,14,0.704197,,,,,,,,,,,,,,,,,,,,
GZ-33-2,[5],Gaize,,,,Basalt,WR,OIB,176,U-Pb,Qu et al. 2010,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,1.1,3.74,,0.1564,,,,,11.2,86.9,0.3728,0.705838,11,0.704953,,,,,,,,,,,,,,,,,,,,
A2,[21],Spontang,,,,Basalt,WR,MOR,177,U-Pb,Pedersen et al. 2001,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.216,0.513014,3,0.512764,6.9,,,0.007,0.708943,5,0.708924,,,,,,,,,,,,,,,,,,,,
A1,[21],Spontang,,,,Basalt,WR,MOR,177,U-Pb,Pedersen et al. 2001,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.198,0.51304,3,0.512811,7.8,,,0.104,0.704243,5,0.703982,,,,,,,,,,,,,,,,,,,,
J3,[21],Spontang,,,,Basalt,WR,MOR,177,U-Pb,Pedersen et al. 2001,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.201,0.513099,5,0.512866,8.3,,,0.035,0.704863,5,0.704775,,,,,,,,,,,,,,,,,,,,
B8,[21],Spontang,,,,Gabbro,WR,MOR,177,U-Pb,Pedersen et al. 2001,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,,,,0.208,0.513087,20,0.512846,8.5,,,0.23,0.705166,4,0.704599,,,,,,,,,,,,,,,,,,,,
