,SAMPLE ID,IGSN,REFERENCES,LATITUDE,LONGITUDE,AGE,ROCK TYPE,ROCK NAME,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,eNd,eNd_i,PB206_PB204,PB206_PB204_INI,PB207_PB204,PB207_PB204_INI,PB208_PB204,PB208_PB204_INI,SR87_SR86,SR87_SR86_INI,RB87_SR86,LA,CE,PR,Nd,Sm,EU,GD,TB,DY,HO,ER,TM,YB,LU,TH,NB,TA,U,RB,SR,ZR,HF,Y,BA,geometry,Estimated_Age,Uni_Age,Binned_Age,Binned_Estimated_Age,143Nd_CALC,Delta_DM,Age_rounded
9562,SOGA2476-61-053D,,"DADD, 2015",-25.5373,108.541,123,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512641,0.512494376,,,,,,,,,,0.706213,0.70581,,9.1,22.2,3.1,14.6,4.4,1.37,5.4,0.88,5.6,1.2,3.3,,2.79,0.38,1.68,8,,0.34,9.4,118,130,3.08,35,188,POINT (108.541 -25.5373),,123,> 120 Ma,,,-9.310623834,120
9603,TAN9912-DR4B-002,JBG000024,"MORTIMER, 2007; TODD, 2011",-27.4863,175.274,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513108,0.513070246,,,,18.751,,15.59,,38.308,,,,,3.14,8.11,1.24,7.27,2.72,1.03,3.62,0.69,4.42,0.94,2.47,0.35,2.13,0.33,0.29,4.5,0.42,0.74,1.9,148,76,1.91,32.6,20,POINT (175.274 -27.4863),25.516243,25.51624298,,20 - 40 Ma,,-0.844689835,30
9610,TRI0100-012-010,URI900509,"BLICHERT-TOFT, 2005; KELLEY, 2013; SIGURDSSON, 1981",52.33,-31.52,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513141,0.513126202,,9.81,,18.2947,,15.4655,,37.8503,,,,,7.45,23,3.74,19.22,5.91,1.892,6.19,1.285,8.52,1.886,5.36,,5.03,0.743,0.393,5.86,0.387,0.122,2.72,173.9,205.14,4.97,48.82,30.89,POINT (-31.52 52.33),12.169594,12.16959381,,10 - 20 Ma,,-0.131867086,10
9612,TRI0100-013-010,URI900510,"BLICHERT-TOFT, 2005; KELLEY, 2013; SCHILLING, 2017; SIGURDSSON, 1981",52.48,-31.57,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513129,0.513122864,,9.58,,18.2289,,15.4784,,37.8169,,0.702742,,,3.8,13.39,2.32,12.23,4.2,1.411,4.63,0.908,6.06,1.328,3.79,,3.53,0.532,0.171,2.993,0.206,0.047,1.097,163.7,130.7,3.21,36.55,20.39,POINT (-31.57 52.48),4.5185394,4.518539429,,< 5 Ma,,-0.413407523,0
9615,TRI0100-013-011,URI900511,"BLICHERT-TOFT, 2005; SIGURDSSON, 1981",52.48,-31.57,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513142,,,9.83,,18.3321,,15.4716,,37.9112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-31.57 52.48),4.5185394,4.518539429,,< 5 Ma,,,0
9618,TRI0139-008-001,URI900429,"BLICHERT-TOFT, 2005; KELLEY, 2013; SCHILLING, 1999",66.74,-18.01,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.5131,0.513096431,0.252,,,17.9527,,15.4285,,37.5836,,0.703391,,0.025,0.59,3.01,0.53,3,1.25,0.54,1.96,0.373,2.65,0.59,1.76,,1.74,0.27,0.016,0.339,0.023,0.005,0.58,79.6,30.5,0.81,16.9,2.02,POINT (-18.01 66.74),2.1652756,2.165275574,,< 5 Ma,,-0.995090508,0
9654,VEM0030-010-004,,"MELSON, 2003; SHIREY, 1987",35.15,-34.9,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512871,,,,,18.583,,15.47,,38.41,,0.7035,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-34.9 35.15),0.2528839,0.252883911,,< 5 Ma,,,0
9657,VEM0033-6-039-001,URI901653,"SCHILLING, 1992",12.75,48.49,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513121,0.513118315,,,,,,,,,,0.702805,,,4.6,12.69,,9.1,3.8,1.3,,0.94,,,,0.55,3.2,0.47,,,,,,,,,,,POINT (48.49 12.75),1.6258392,1.625839233,,< 5 Ma,,-0.583888933,0
9658,VEM0033-7-056-001,URI901687,"SCHILLING, 1992",12.648,48.272,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51311,0.513108883,,,,,,,,,,0.702829,,,4.7,14.61,,10,3.8,1.33,,0.89,5.4,,,0.5,3.8,0.39,,,,,,,,,,,POINT (48.272 12.648),0.7433243,0.74332428,,< 5 Ma,,-0.792668065,0
9770,CHR0078-009-042,,"BRUNELLI, 2018",10.7,-41,0.8,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513147,,,,,18.2849,,15.4758,,37.7782,,0.702612,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-41 10.7),,0.8,< 5 Ma,,,,0
9772,CON2104-007,,"BRUNELLI, 2018",10.73,-44.48,25,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512974,,,,,19.6065,,15.6071,,39.2893,,0.703097,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-44.48 10.73),,25,20 - 40 Ma,,,,20
9776,2208A,,"BELAY, 2019",4.07344,9.11599,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512825,0.512825,,,,20.597,20.593,15.668,15.668,40.449,40.444,0.703291,0.70329,,197,379,43.5,155,20.8,5.58,16.8,1.9,9.41,1.67,4.15,0.538,3.25,0.453,21.4,272,14.5,5.21,98.4,2891,497,8.17,39,1376,POINT (9.11599 4.07344),123.54078,123.5407791,,> 120 Ma,,-2.850045465,120
9777,2208B,,"BELAY, 2019",4.07344,9.11599,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512792,0.512792,,,,20.599,20.593,15.673,15.673,40.467,40.46,0.70332,0.70332,,246,488,53.3,204,27.8,7.49,22.7,2.52,12.4,2.16,5.31,0.683,4.17,0.59,23.4,311,17.1,7.85,54.8,3514,792,13.6,49.6,1151,POINT (9.11599 4.07344),123.54078,123.5407791,,> 120 Ma,,-3.493356435,120
9778,2208C,,"BELAY, 2019",4.07344,9.11599,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512811,0.512811,,,,20.588,20.583,15.676,15.676,40.456,40.447,0.703316,0.703315,,304,571,60.9,225,29.5,7.98,24.1,2.76,13.5,2.4,6,0.789,4.87,0.69,29.7,397,20.5,4.79,145,4434,847,13.3,56.6,1368,POINT (9.11599 4.07344),123.54078,123.5407791,,> 120 Ma,,-3.122965271,120
9779,2208D,,"BELAY, 2019",4.07344,9.11599,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512803,0.512803,,,,20.582,20.577,15.671,15.671,40.434,40.426,0.703322,0.703321,,267,529,57.8,209,28.6,7.65,21.9,2.53,12.6,2.18,5.31,0.683,4.15,0.587,25.1,331,18.5,6.09,103,3838,802,13.4,52.9,1156,POINT (9.11599 4.07344),123.54078,123.5407791,,> 120 Ma,,-3.278919445,120
9780,CA062,,"BELAY, 2019",4.02836,9.09994,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512825,0.512825,,,,20.555,20.548,15.671,15.671,40.366,40.358,0.703301,0.703301,,190,374,42.7,154,20.7,5.69,16.8,1.9,9.49,1.66,4.12,0.542,3.22,0.448,19.5,274,14.1,6.13,96.5,3489,525,8.54,39.2,1351,POINT (9.09994 4.02836),123.31736,123.3173599,,> 120 Ma,,-2.856372274,120
9781,PETDB-2749-C237,,"GANNOUN, 2015",4,9,20.4,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512848,,,,,19.579,,15.655,,39.351,,,,,32,71,,35,,,,,,,,,,,3.01,39,,0.81,21,40,205,,24,312,POINT (9 4),,20.4,20 - 40 Ma,,,,20
9782,PETDB-2749-C238,,"GANNOUN, 2015",4,9,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512877,,,,,19.712,,15.676,,39.398,,,,,30,62,,32,,,,,,,,,,,2.69,36,,0.85,14,496,188,,24,269,POINT (9 4),122.62168,122.6216812,,> 120 Ma,,,120
9784,PETDB-2749-C030,,"GANNOUN, 2015",4,9,,IGNEOUS:VOLCANIC:MAFIC,BASANITE,0.51281,,,,,20.289,,15.644,,40.036,,,,,45,99,,44,,,,,,,,,,,4.46,55,,1.16,22,625,240,,23,292,POINT (9 4),122.62168,122.6216812,,> 120 Ma,,,120
9786,PETDB-2749-R14,,"GANNOUN, 2015",4,9,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512776,,,,,20.24,,15.65,,40.08,,,,,35,65,,36,,,,,,,,,,,2.89,51,,0.73,17,516,186,,19,218,POINT (9 4),122.62168,122.6216812,,> 120 Ma,,,120
9787,PETDB-2749-C239,,"GANNOUN, 2015",4.95,9.86,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512938,,,,,19.937,,15.63,,39.677,,,,,39,84,,41,,,,,,,,,,,3.96,56,,1.02,31,681,264,,29,474,POINT (9.86 4.95),nan,,,,,,
9788,PETDB-2749-C247,,"GANNOUN, 2015",4.95,9.86,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512927,,,,,19.668,,15.634,,39.3,,,,,38,74,,37,,,,,,,,,,,3.97,48,,1.18,28,547,272,,29,412,POINT (9.86 4.95),nan,,,,,,
9826,*GRIMSEY_IC-247,,"SCHILLING, 1999",66.54,-18.02,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513073,0.513070586,0.216,,,18.01,,15.404,,37.56,,0.702914,,0.062,,,,8.76,3.13,,,,,,,,,,0.217,,,0.062,2.3,107.3,,,,,POINT (-18.02 66.54),1.7087708,1.708770752,,< 5 Ma,,-1.511667467,0
9827,*HAEY_IC-244-1G,,"SCHILLING, 1999",66.29,-17.11,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513042,0.513033584,0.173,,,18.457,,15.443,,38.116,,0.703,,0.098,,,,19.09,5.46,,,,,,,,,,0.987,,,0.288,6.85,202,,,,,POINT (-17.11 66.29),7.438286,7.438285828,,5 - 10 Ma,,-2.070668676,10
9828,*HAEY_IC-244-2,,"ANDRES, 2004; SCHILLING, 1999",66.29,-17.11,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513022,0.513013876,0.167,,,18.482,,15.47,,38.199,,0.703183,,0.094,,,,19.34,5.35,,,,,,,,,,0.977,,,0.281,6.55,202.6,,,,,POINT (-17.11 66.29),7.438286,7.438285828,,5 - 10 Ma,,-2.454737756,10
9842,*LAGEY_IC-246,,"SCHILLING, 1999",66.3,-17.12,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513016,0.513007438,0.176,,,18.48,,15.458,,38.17,,0.70313,,0.106,,,,15.88,4.62,,,,,,,,,,1.006,,,0.307,7.47,204.2,,,,,POINT (-17.12 66.3),7.438286,7.438285828,,5 - 10 Ma,,-2.580197283,10
9843,*MBROS-8,,"BRUECKNER, 1988",27,35,,IGNEOUS:VOLCANIC:MAFIC,DIABASE,0.51309,,0.235,,,,,,,,,0.70357,,,,,,4.97,1.94,,,,,,,,,,,,,,,,,,,,POINT (35 27),nan,,,,,,
9872,ABP0016-030-013,,"SMITH, 1998",33.53,-38.21,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513233,0.513229702,,,,17.948,,15.435,,37.538,,0.702792,,,6.8,21.3,,19,6,2.01,8.2,,9.7,,6.2,,5.7,,,,,,,120,171,,62,41,POINT (-38.21 33.53),2.640747,2.64074707,,< 5 Ma,,1.615490273,0
9876,ABP0016-071-013,,"DOSSO, 1993",15.0833,-44.9333,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513,,,,,19.137,,15.519,,38.677,,0.70273,,,5.2,,,,2.31,,,,,,,,,,,6.98,0.481,,3.449,142.7,69,,18.8,47.3,POINT (-44.9333 15.0833),2.1790848,2.179084778,,< 5 Ma,,,0
9879,AGU0032-003-002,,"LE ROEX, 1987; LE ROUX, 2000; LE ROUX, 2001",-54.12,1.97,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51303,0.513018287,,,,,,,,,,0.7029,,,7.02,17.5,,15.3,5.26,1.61,7.14,,7.66,,4.7,,4.78,,0.7,7.78,0.5,0.15,5.14,105,139,,48,51,POINT (1.97 -54.12),8.61557,8.615570068,,5 - 10 Ma,,-2.33546342,10
9890,AGU0032-003-099,URI900892,"AGRANIER, 2005; ANDRES, 2002; DOUGLASS, 1999; KELLEY, 2013; VAN HEERDEN, 1988",-54.12,1.97,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513059,0.513046955,,,,18.5816,,15.5817,,38.3784,,0.703088,,,4.39,12.59,2.08,10.89,3.85,1.342,5.23,1.002,6.43,1.45,4.2,,4.02,0.592,0.361,4.217,0.2749,0.287,2.36,121,105.5,2.94,38.9,29.1,POINT (1.97 -54.12),8.61557,8.615570068,,5 - 10 Ma,,-1.776784794,10
9896,AII0020-003,,"ITO, 1987",11.02,-43.67,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513127,,,,,18.359,,15.504,,37.845,,0.70253,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-43.67 11.02),0.7128372,0.712837219,,< 5 Ma,,,0
9973,AII0020-043-049,,"FREY, 1970; MELSON, 1972; RODEN, 1984",1.03,-29.33,,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,0.512927,0.512923149,,,,19.773,,15.638,,39.36,,0.70341,,,42,97,10.6,42,7.7,2.47,7.4,0.972,,1.005,2.75,0.322,1.96,0.311,,,,,36.7,726,200,,26.2,489,POINT (-29.33 1.03),5.312393,5.312393188,,5 - 10 Ma,,-4.282940856,10
9974,AII0020-SE06,,"MELSON, 1972; RODEN, 1984",0.93,-29.37,,IGNEOUS:PLUTONIC:MAFIC,GABBRO,0.512981,0.512976022,,,,18.632,,15.611,,38.674,,0.70347,,,,,,7.86,2.45,,,,,,,,,,,,,,5.63,724,50,,,950,POINT (-29.37 0.93),4.038994,4.038993835,,< 5 Ma,,-3.288586501,0
10015,AII0096-3-008-002,,"BRYAN, 1981; MACHADO, 1982; REEKIE, 2019",24.012,-46.187,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513224,0.513222149,,,,,,,,,,0.7024,,,3.83,11.69,1.94,10.64,3.74,1.4,4.8,0.83,5.47,1.18,3.43,0.48,3.21,0.49,0.21,3.39,0.2,0.06,1.6,130.89,98.35,2.64,30.87,15.09,POINT (-46.187 24.012),1.3318558,1.331855774,,< 5 Ma,,1.431250308,0
10038,AII0107-6-060-088,,"LE ROEX, 1983",-53.428,9.152,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51287,0.51286817,,,,,,,,,,0.70364,,,30.6,68.7,,38.1,8.91,3.02,,1.44,,,,,3.14,0.46,,47,,,21,518,319,,40,255,POINT (9.152 -53.428),1.9792404,1.979240417,,< 5 Ma,,-5.448617145,0
10095,ALV1018-001-2,,"SHIREY, 1987",35.07,-35.52,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513122,,,,,18.568,,15.518,,38.31,,0.703056,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-35.52 35.07),4.2129517,4.21295166,,< 5 Ma,,,0
10224,ANS0022-004-028,,"BRUNELLI, 2018; CIPRIANI, 2004",10.712,-41.208,2.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513091,,,,,,,,,,,0.702692,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-41.208 10.712),,2.5,< 5 Ma,,,,0
10225,ANS0022-006-059,,"BRUNELLI, 2018; CIPRIANI, 2004",10.718,-41.287,3.11,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513111,,,,,18.4967,,15.5133,,38.0571,,0.703011,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-41.287 10.718),,3.11,< 5 Ma,,,,0
10226,ANS0022-007-002,,"BRUNELLI, 2018; CIPRIANI, 2004",10.697,-41.352,3.68,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513102,,,,,18.559,,15.5261,,38.1117,,0.702701,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-41.352 10.697),,3.68,< 5 Ma,,,,0
10243,ARGCIRC-110-013,,"MAHONEY, 1989; MELSON, 2003",-26.62,67.52,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513081,0.51307994,,8.3,,17.978,,15.461,,37.797,,0.70286,,,,,,13.56,4.03,,,,,,,,,,,,,,,,,,,,POINT (67.52 -26.62),0.90187836,0.901878357,,< 5 Ma,,-1.352208095,0
10246,ARGCIRC-110-016,,"GALE, 2013; MAHONEY, 1989; MELSON, 2003",-26.62,67.52,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513045,0.51304395,,7.9,,,,,,,,0.70284,,,6.081,17.917,2.734,14.06,4.14,1.475,4.97178,0.892,5.788,1.193,3.48768,,3.263,0.485,0.297,4.408,0.3,0.108,1.69,214.1,159.158,3.425,34.475,20.741,POINT (67.52 -26.62),0.90187836,0.901878357,,< 5 Ma,,-2.053567299,0
10281,CHR0077-004-101,,"DOSSO, 1993",23.7,-45.433,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513171,,,,,,,,,,,0.702813,,,2.7,,,,,1.17,,0.72,,,,,,,0.12,2.5,0.15,,4.1,129,104,2.37,33.4,,POINT (-45.433 23.7),3.4593735,3.459373474,,< 5 Ma,,,0
10282,CHR0077-004-103,,"DOSSO, 1993",23.7,-45.433,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513191,,,,,,,,,,,0.702903,,,3.5,,,,,1.42,,0.82,,,,,,,0.15,2.4,0.2,,4.4,127,116,2.87,39.4,,POINT (-45.433 23.7),3.4593735,3.459373474,,< 5 Ma,,,0
10284,CHR0077-004-106,,"HAMELIN, 1985",23.7,-45.433,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513203,,,,,18.141,,15.456,,37.514,,0.7023,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-45.433 23.7),3.4593735,3.459373474,,< 5 Ma,,,0
10285,CHR0077-004-106,,"CHAUVEL, 2001; DEBAILLE, 2006",23.7,-45.433,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513178,0.513172605,,,,18.151,,15.457,,37.532,,,,,3.42,11.2,1.94,10.6,4.18,1.34,5.3,0.9,6.02,1.26,3.76,0.53,3.45,0.51,0.185,2.35,0.198,0.079,1.05,126,113,2.71,32,6.21,POINT (-45.433 23.7),3.4593735,3.459373474,,< 5 Ma,,0.525974222,0
10286,CHR0077-004-166,,"DOSSO, 1993",23.7,-45.433,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513178,0.5131733,,,,,,,,,,0.702988,,,4.3,,,13.36,4.59,1.68,,1.18,,,,,,,0.24,4.2,0.25,,0.604,119.7,152,3.49,46.5,,POINT (-45.433 23.7),3.4593735,3.459373474,,< 5 Ma,,0.539510744,0
10288,CHR0077-005,,"DEBAILLE, 2006",23.417,-44.983,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513139,0.513138414,,,,18.353,,15.487,,37.756,,,,,3.78,12.2,2.09,11.4,4,1.4,5.48,0.93,6.21,1.3,3.91,0.55,3.6,0.53,,,,,0.77,130,118,,32.3,5.81,POINT (-44.983 23.417),0.42240143,0.422401428,,< 5 Ma,,-0.226265095,0
10289,CHR0077-005-001,,"DOSSO, 1993; GANNOUN, 2007",23.417,-44.983,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513201,0.513200443,,,,18.527,,15.542,,38.035,,0.702357,,,4.5,,,13.04,4.35,1.73,,0.96,,,,,,,0.23,3.35,0.22,,0.626,139.1,135,3.54,36.5,,POINT (-44.983 23.417),0.42240143,0.422401428,,< 5 Ma,,0.982521146,0
10294,CHR0077-005-401,,"DOSSO, 1993",23.417,-44.983,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513212,0.513211409,,,,,,,,,,0.702355,,,2.6,,,8.7,3.08,1.23,,0.7,,,,,,,0.06,2.5,0.11,,0.455,117.7,97,2.42,38.4,,POINT (-44.983 23.417),0.42240143,0.422401428,,< 5 Ma,,1.19621823,0
10295,CHR0077-005-408,,"DOSSO, 1993",23.417,-44.983,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513212,0.513211441,,,,,,,,,,0.702398,,,5.4,,,15.33,5.13,1.86,,1.13,,,,,,,0.2,4.9,0.257,,1.052,131.4,168,4.15,48.3,,POINT (-44.983 23.417),0.42240143,0.422401428,,< 5 Ma,,1.196849233,0
10299,CHR0078-008-023,,"BOUGAULT, 1988; DOSSO, 1991; DOSSO, 1993",10.617,-40.83,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513102,0.513100773,,,,,,,,,,0.70257,,,2.6,,,8.36,2.78,,,,,,,,,,0.38,3.2,0.12,,2.29,161.9,83,2.13,27,,POINT (-40.83 10.617),0.9328537,0.932853699,,< 5 Ma,,-0.945343997,0
10304,CHR0078-008-046,,"BOUGAULT, 1988; DOSSO, 1991; DOSSO, 1993",10.617,-40.83,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513125,0.513123749,,,,18.325,,15.481,,37.826,,0.702697,,,5.1,,,13.95,4.73,,,,,,,,,,0.21,6.5,0.24,,3.68,136.3,177,4.42,50,6,POINT (-40.83 10.617),0.9328537,0.932853699,,< 5 Ma,,-0.497601054,0
10309,CHRRI88-003-101,,"DOSSO, 1993",14.892,-48.777,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513008,0.512982775,,,,18.918,,15.579,,38.559,,0.70343,,,19.7,,,22.54,5.21,1.7,,0.695,,,,,1.81,,2.06,33.92,2.11,,15.14,462.4,162,3.97,25.1,267,POINT (-48.777 14.892),27.595863,27.59586334,,20 - 40 Ma,,-2.490563137,30
10311,CHRRI88-005-103,,"DOSSO, 1993",14.883,-47.05,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512934,0.512917249,,,,19.089,,15.571,,38.782,,0.703155,,,6.88,,,10.31,2.81,1.09,,0.561,,,,,1.86,,0.72,10.08,0.666,,1.314,185.7,87,2.38,21.7,35.2,POINT (-47.05 14.883),15.542183,15.54218292,,10 - 20 Ma,,-4.108571229,20
10312,CHRRI88-006-101,,"DOSSO, 1993",14.27,-45.903,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512984,0.512976485,,,,18.751,,15.576,,38.372,,0.702865,,,18.6,,,16.14,4.15,1.84,,0.811,,,,,2.42,,1.72,27.71,1.722,,9.7,393.8,145,3.86,32.8,204,POINT (-45.903 14.27),7.391449,7.391448975,,5 - 10 Ma,,-3.184736036,10
10313,CHRRI88-006-102,,"DOSSO, 1993",14.27,-45.903,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512925,0.512918706,,,,18.831,,15.583,,38.478,,0.706406,,,35,,,28.05,6.04,2.33,,0.963,,,,,2.8,,3.1,50.26,3.101,,14.68,1260,203,5.23,39.5,399,POINT (-45.903 14.27),7.391449,7.391448975,,5 - 10 Ma,,-4.310711852,10
10315,CHRRI88-007-101,,"DOSSO, 1993",14.678,-45.515,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512983,0.512979131,,,,19.076,,15.595,,38.847,,0.703152,,,14.4,,,16.43,4.06,1.46,,0.693,,,,,2.55,,1.335,22.93,1.396,,8.14,232.6,127,2.94,28.8,103,POINT (-45.515 14.678),3.95961,3.959609985,,< 5 Ma,,-3.230239924,0
10317,CHRRI88-007-103,,"DOSSO, 1993",14.678,-45.515,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512991,0.512986838,,,,19.237,,15.638,,39.052,,0.703232,,,13.3,,,13.62,3.62,1.43,,0.685,,,,,2.1,,1.38,21.53,1.321,,12.4,223.6,135,3.34,29.6,125,POINT (-45.515 14.678),3.95961,3.959609985,,< 5 Ma,,-3.080037416,0
10320,CHRRI88-011-103,,"DOSSO, 1993",15.983,-48.117,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513194,0.51318059,,,,18.55,,15.552,,38.147,,0.702546,,,4.05,,,10.82,3.42,1.28,,0.702,,,,,2.56,,0.182,4.1,0.261,,2.1,219,111,2.59,30.3,21,POINT (-48.117 15.983),10.728127,10.72812653,,10 - 20 Ma,,0.887266943,10
10322,CON2104-001-B,,"BRUNELLI, 2018; CIPRIANI, 2004",10.68,-44.42,24.55,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51311,,,,,18.6534,,15.3042,,38.2108,,0.702678,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-44.42 10.68),,24.55,20 - 40 Ma,,,,20
10323,CON2104-009-AD,,"CIPRIANI, 2004",10.987,-44.08,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513153,,,,,,,,,,,0.702484,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-44.08 10.987),2.3842468,2.384246826,,< 5 Ma,,,0
10324,CON2104-010-AD,,"BRUNELLI, 2018; CIPRIANI, 2004",10.62,-41.812,7.24,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513144,,,,,,,,,,,0.702982,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-41.812 10.62),,7.24,5 - 10 Ma,,,,10
10325,CON2104-017-A,,"BRUNELLI, 2018; CIPRIANI, 2004",10.597,-43.485,18.65,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51312,,,,,,,,,,,0.702732,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-43.485 10.597),,18.65,10 - 20 Ma,,,,20
10392,CON2806-033-001G,,"SCHILLING, 1994",0.986,-27.691,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.512979,,,,,19.505,,15.625,,38.975,,0.702724,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-27.691 0.986),3.3551102,3.355110168,,< 5 Ma,,,0
10394,CON2806-034-001G,,"SCHILLING, 1994",1.023,-27.702,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.51296,,,,,19.528,,15.623,,39.017,,0.70283,,,,,,,,,,,,,,,,,,,,,,,,,,,POINT (-27.702 1.023),8.819679,8.81967926,,5 - 10 Ma,,,10
10416,DAR0080-096-001,,"HILTON, 2000; MURTON, 2002",59.785,-30.111,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513152,0.513149406,,,,18.246,,,,,,0.702775,,,1.76,5.64,1,6.13,2.43,0.91,3.82,0.76,5.39,1.23,3.61,0.51,3.52,0.52,0.1,1.63,0.12,0.06,0.93,69.26,64.17,1.93,33.29,9.78,POINT (-30.111 59.785),1.654808,1.654808044,,< 5 Ma,,0.022811814,0
10438,DSDP038-0344-035-004-07,,"WAGGONER, 1989",76.1497,7.8753,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513112,,,,,,,,,,,0.703054,,,,,,,,,,,,,,,,,,,,,8.3,194.3,,,,125.5,POINT (7.8753 76.1497),4.016815,4.016815186,,< 5 Ma,,,0
10458,DSDP049-0409-007-006/068-071,,"KEMPTON, 2000",62.6163,-25.9528,,IGNEOUS:VOLCANIC:MAFIC,BASALT,0.513124,0.513120287,0.2113,9.44,,18.412,,15.503,,37.978,,0.703071,,0.0413,0.17,3.27,8.91,1.49,8.15,2.85,0.99,4.2,0.77,5.01,1.08,3.09,0.51,0.5,0.318,4.06,1.997,0.25,1.06,91.76,68.73,2,31.67,20.2,POINT (-25.9528 62.6163),2.6870117,2.687011719,,< 5 Ma,,-0.51544626,0
