Specimen Code,Specimen Name,Reference,Section,Age,Lat,Long,87Sr/86Sr,87Sr/86Sr_i,87Rb/86Sr,143Nd/144Nd,143Nd/144Nd_i,147Sm/144Nd,206Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb,207Pb/204Pb_i,208Pb/204Pb,208Pb/204Pb_i,176Hf/177Hf,176Hf/177Hf_i,176Lu/177Hf,232Th/238U,Nd,Sm,Lu,235U/204Pb,238U/204Pb,232Th/204Pb,Pb,Th,U,Hf,Rb,Sr
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
