Reference,Ophiolite,Location/Unit,Sample,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
"Pin and Paquette, 1997",Brevenne,,BR3,,,Gabbro,WR,SSZ,366,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.82,9.19,0.306855277,0.1855,0.512022,9,,8,4,320,0.039,0.70421,,0.704,,,,,,,,,,,,,,,,,,,,
"Pin and Paquette, 1997",Brevenne,,BEL1,,,Gabbro,WR,SSZ,366,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.38,4.03,0.342431762,0.2064,0.513038,25,,7.3,31,398,0.22,0.70708,,0.7059,,,,,,,,,,,,,,,,,,,,
"Pin and Paquette, 1997",Brevenne,,BR5,,,Gabbro,WR,SSZ,366,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.53,9.14,0.276805252,0.1671,0.512914,12,,6.7,9,404,0.062,0.7043,,0.704,,,,,,,,,,,,,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-145,,,Gabbro,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.48,6.76,0.366863905,0.2229,0.513153,,0.512611512,8.812725861,0.15,172.3,0.0024,0.706272,,0.706259531,0.23,0.19,0.18,56.706,52.6,,21.078,15.716,39.013,17.962,15.548,37.962,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-161,,,Basalt,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,1.789,5.502,0.325154489,0.1979,0.5129,,0.512419244,5.058668701,4.449,212.5,0.0606,0.706709,,0.706394148,0.33,0.22,0.07,42.977,13.028,,18.75,15.722,39.154,17.978,15.68,38.358,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-153,,,Basalt,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.305,7.066,0.32621002,0.1985,0.512905,,0.512422787,5.127835121,1.152,488.6,0.0068,0.705953,,0.70591767,0.31,0.22,0.08,47.045,15.952,,18.514,15.593,38.559,17.569,15.542,37.687,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-159,,,Basalt,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.365,7.223,0.327426277,0.1993,0.5129,,0.512415843,4.992263686,34.12,109,0.9064,0.70941,,0.704700728,0.42,0.21,0.11,32.278,17.279,,18.449,15.591,38.538,17.425,15.536,37.94,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-158,,,Basalt,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.362,7.124,0.331555306,0.2018,0.512883,,0.51239277,4.541755882,28.34,263.9,0.311,0.707136,,0.705520175,0.26,0.24,0.06,60.535,13.527,,18.387,15.599,38.837,17.585,15.555,37.716,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-144,,,Gabbro,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,1.587,4.206,0.377318117,0.2296,0.512904,,0.512346236,3.633169995,3.325,569.3,0.0169,0.705578,,0.705490195,0.63,0.23,0.07,23.392,7.169,,18.383,15.622,38.477,17.958,15.599,38.044,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-137,,,Gabbro,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.777,10.37,0.267791707,0.163,0.51294,,0.512544026,7.495056561,13.13,448.5,0.0848,0.704508,,0.704067415,2.4,1.1,0.19,29.949,4.893,,18.221,15.585,38.407,17.932,15.569,37.852,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-137-pl,,,Plagioclase,Plagioclase,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,,,#DIV/0!,,,,,,,,,,,,4.52,0.28,0.3,4.028,4.177,,18.194,15.546,38.069,17.946,15.533,37.995,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-139,,,Basalt,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,3.665,12.37,0.296281326,0.1803,0.512881,,0.512443,5.522496904,3.1,550.5,0.0163,0.705503,,0.705418312,2.4,0.8,0.16,21.81,4.158,,18.184,15.566,38.314,17.938,15.553,37.91,,,,,,,,
"Liu et al., 2014",Dalabute,,DL-150,,,Basalt,WR,MOR,371,CAOB,Paleo-Asian,West Junggar,Syn-Godwana and Pre-Pangea,2.143,6.394,0.335157961,0.204,0.512921,,0.512425426,5.179360552,34.52,84.95,1.1767,0.709621,,0.703507363,0.88,0.21,0.06,15.407,3.959,,18.122,15.56,38.258,17.888,15.547,37.972,,,,,,,,
Moghadam et al. 2015,Darrehanjir,Darrehanjir,DA12-2,,,leucogabbro,WR,SSZ,380,Cimmerides,Paleo-Tethys,Cimmerian,Syn-Godwana and Pre-Pangea,0.21,1.3,0.16,0.097257,0.512925,,0.512683,10.29,27.9,1323.9,0.060964,0.706204,,0.705874,0.3,0.2,0.1,,,,18.1741,15.5705,38.047,16.9008,15.5015,37.2246,,,,,,,,
Moghadam et al. 2015,Darrehanjir,Darrehanjir,DA12-12,,,gabbro,WR,SSZ,380,Cimmerides,Paleo-Tethys,Cimmerian,Syn-Godwana and Pre-Pangea,0.74,2.07,0.36,0.214962,0.512925,,0.51239,4.56,14.01,946.5,0.04282,0.706319,,0.706087,0.28,0.02,0.04,,,,18.1869,15.3892,37.5343,17.5986,15.3573,37.4393,,,,,,,,
Moghadam et al. 2015,Darrehanjir,Darrehanjir,DA12-19,,,ferrodiorite,WR,SSZ,380,Cimmerides,Paleo-Tethys,Cimmerian,Syn-Godwana and Pre-Pangea,2.53,8.2,0.31,0.185761,0.512815,,0.512353,3.83,8,790.2,0.029287,0.706072,,0.705914,0.4,0.2,0.1,,,,18.4132,15.6037,38.2444,17.4522,15.5516,37.6236,,,,,,,,
Zhang et al. 1995,Sartuohai,,D1,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,9.61622807,,,,,,0.702888158,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D2,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.589153171,,,,,,0.703055921,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D3,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,4.790148448,,,,,,0.703539474,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D4,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,7.815452092,,,,,,0.703578947,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D5,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.789811066,,,,,,0.703578947,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D6,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.73675776,,,,,,0.703786184,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D7,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,8.325067476,,,,,,0.703953947,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D8,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,9.710273279,,,,,,0.703884868,,,,,,,,,,,,,,,,,,,,
Zhang et al. 1995,Sartuohai,,D9,,,Basalt,WR,OIB,391,CAOB,Paleo-Asian,,Syn-Godwana and Pre-Pangea,,,,,,,,9.709176788,,,,,,0.704013158,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,98-1,,,Dolerite,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.04,12.5,0.3232,0.1959,0.513102 Â± 8,8,,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,98-4,,,Dolerite,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.64,11.4,0.319298246,0.1934,0.513100 Â± 8,8,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,98-7,,,Dolerite,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.31,11.3,0.292920354,0.1768,0.513015 Â± 8,8,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,DOL,,,Dolerite,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.02,17.36,0.289170507,0.1746,0.512961,6,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,87-43,,,Dolerite,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.06,17.7,0.285875706,0.1729,0.51297,7,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,87-44,,,Dolerite,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.15,18.1,0.284530387,0.1722,0.512966,8,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,87-46,,,Dolerite,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.72,11.1,0.245045045,0.1481,0.512908,10,,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,LGB,,,Cumulate gabbro,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,10.4,42.7,0.243559719,0.1469,0.51286,6,,6.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,87-47,,,Cumulate gabbro,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,6,40.6,0.147783251,0.0892,0.512728,8,,7.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,87-48,,,Cumulate gabbro,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.16,3.1,0.374193548,0.2257,0.513126,7,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,98-2,,,Cumulate gabbro,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.86,16.3,0.298159509,0.1805,0.51296,8,,7.1,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,98-3,,,Cumulate gabbro,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,11.3,37.2,0.303763441,0.1842,0.512984,7,,7.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,98-5,,,Cumulate gabbro,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.13,7.07,0.301272984,0.1823,0.513029,9,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2002,Careon,,98-6,,,Cumulate gabbro,WR,SSZ,395,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.19,7.5,0.292,0.1769,0.512915,8,,6.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies et al. 1984,Lizard Complex,,P2,,,Dolerite,WR,MOR,397,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.11,9.53,0.32633788,0.198,0.513095,14,,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies et al. 1984,Lizard Complex,,P4,,,Dolerite,WR,MOR,397,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.17,9.46,0.335095137,0.203,0.513241,20,,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies et al. 1984,Lizard Complex,,P11b,,,Dolerite,WR,MOR,397,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.99,5.94,0.335016835,0.203,0.513157,24,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies et al. 1984,Lizard Complex,,CV2,,,Dolerite,WR,MOR,397,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.02,6,0.336666667,0.202,0.513206,20,,11.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies et al. 1984,Lizard Complex,,P1,,,Dolerite,WR,MOR,397,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.17,16.7,0.249700599,0.151,0.512966,14,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies et al. 1984,Lizard Complex,,P5,,,Dolerite,WR,MOR,397,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.57,8.96,0.286830357,0.174,0.513035,14,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Davies et al. 1984,Lizard Complex,,P11a,,,Dolerite,WR,MOR,397,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,7.52,26.5,0.283773585,0.171,0.513038,12,,10.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Sleza,7G,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2721,,,,8.1,,,,,,0.7021,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Sleza,18G,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2792,,,,8.2,,,,,,0.7021,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Sleza,Braz,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.296,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Sleza,IPEG,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.3075,,,,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Sleza,II/21X,,,Basalt,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.204,,,,8.7,,,,,,0.7019,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Sleza,IV/212X,,,Basalt,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2102,,,,8.7,,,,,,0.7036,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR1,,,Anorthosite,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2152,,,,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR4,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.3059,,,,7.8,,,,,,0.7026,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR8,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2633,,,,8.1,,,,,,0.7028,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR9,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.221,,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR14,,,Anorthosite,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.1916,,,,8.5,,,,,,0.7026,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,WOL,,,Gabbro,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2406,,,,8.4,,,,,,0.7024,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR6,,,Basalt,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2095,,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR7,,,Basalt,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2091,,,,8.4,,,,,,0.7051,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR11,,,Basalt,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2177,,,,8.4,,,,,,0.703,,,,,,,,,,,,,,,,,,,,
"Kryza and Pin, 2010",Central-Sudetic Ophiolite,Nowa Ruda,NR13,,,Basalt,,SSZ,400,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,,,,0.2062,,,,8.1,,,,,,0.7028,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz2,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.84,11.2,0.342857143,0.2066,0.513117,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz3,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.97,15.6,0.382692308,0.2055,0.513107,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz4,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.2,8.93,0.358342665,0.2168,0.513132,,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz5,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.32,12.8,0.3375,0.2085,0.513132,,,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz6,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.7,16.1,0.354037267,0.2139,0.513134,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz7,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.56,10.4,0.342307692,0.2075,0.513114,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz8,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.61,13.6,0.338970588,0.2046,0.513104,,,8.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz9,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.68,4.47,0.375838926,0.2278,0.513178,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz10,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.89,9.98,0.289579158,0.175,0.513019,,,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz13,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.74,9.82,0.380855397,0.2304,0.513229,,,9.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz14,,,Metabasite,,MOR,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.23,8.54,0.378220141,0.2286,0.513174,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Mo5,,,Cumulate Gabbro,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.03,2.64,0.390151515,0.2355,0.513128,,,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Mo6,,,Cumulate Gabbro,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.88,2.31,0.380952381,0.2301,0.513154,,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Mo8,,,Cumulate Gabbro,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.17,7.52,0.421542553,0.2546,0.513244,,,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz12,,,Cumulate Gabbro,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.17,3.46,0.338150289,0.2046,0.513035,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Mo1,,,Gabbro,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,3.28,9.14,0.358862144,0.2172,0.513141,,,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Mo2,,,Gabbro,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,13.8,50.8,0.271653543,0.1645,0.512956,,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Mo10,,,Gabbro,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,2.36,6.97,0.338593974,0.2041,0.51308,,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz11,,,Amphibolite,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,5.29,24.2,0.218595041,0.1319,0.512817,,,6.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Pin et al. 2006,Morais,,Iz15,,,Amphibolite,,SSZ,405,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,4.65,19.2,0.2421875,0.1466,0.512825,,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-5,,,,Plagioclase,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.02,0.12,0.166666667,0.1129,0.512855,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-9,,,,Plagioclase,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.03,0.14,0.214285714,0.1095,0.512827,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-10,,,,Plagioclase,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.03,0.14,0.214285714,0.1213,0.51286,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-08-394,,,,Plagioclase,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.02,0.11,0.181818182,0.1384,0.51293,35,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-5,,,,Cpx,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.99,4.06,0.490147783,0.2968,0.513295,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-9,,,,Cpx,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.35,2.61,0.517241379,0.3115,0.513328,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-10,,,,Cpx,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.46,2.9,0.503448276,0.3041,0.513322,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-08-394,,,,Cpx,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.89,1.45,0.613793103,0.3701,0.513517,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-5,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.69,1.63,0.423312883,0.2573,0.51322,17,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-9,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.26,0.59,0.440677966,0.265,0.513212,16,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-10,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.59,1.33,0.443609023,0.2699,0.513253,9,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-08-394,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.39,0.72,0.541666667,0.3266,0.51342,13,,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Tisovita Iuti,TI-06-16,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,1.51,2.69,0.56133829,0.3404,0.513416,15,,7.8,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Deli Jovan,DJ-08-143,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.51,1.14,0.447368421,0.2718,0.513256,13,,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Deli Jovan,DJ-08-173b,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.1,0.28,0.357142857,0.2102,0.513074,10,,7.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Plissart et al. 2017,Balkan-Carpathian Ophiolite,Deli Jovan,DJ-08-151c,,,,WR,SSZ,409,Variscan ,Rheic,Late,Syn-Godwana and Pre-Pangea,0.1,0.32,0.3125,0.1871,0.513034,11,,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,
