Reference,Ophiolite,Location/Unit,Sample,Lat,Lon,Lithotype,Material,Kind,Age_FromRef,Orogen,Ocean,Segment,Stage,Sm,Nd,Sm/Nd,147Sm/144Nd,143Nd/144Nd,2s_Nd,143Nd/144Nd_i,eNd_i,Rb,Sr,87Rb/86Sr,87Sr/86Sr,2s_Sr,87Sr/86Sr_i,Pb,Th,U,232Th/208Pb,238U/206Pb,235U/207Pb,206Pb/204Pb,207Pb/204Pb,208Pb/204Pb,206Pb/204Pb_i,207Pb/204Pb_i,208Pb/204Pb_i,208Pb*/206Pb*,Lu,Hf,176Lu/177Hf,176Hf/177Hf,2s_Hf,176Hf/177Hf_i,eHf_i
Kakar et al. 2014,Bagh Complex,,C58,,,Basalt,WR,OIB,100,Alpine-Himalayan,Tethys,Central,Post-Pangea Formation,9.89,39.67,,0.120309,0.512797,1,0.512733,3.89,3.3,168,0.019631,0.705397,17,0.705332,,,,,,,,,,,,,,,,,,,,
Maheo et al. 2004,Kharzog,,CH440,,,Gabbro,WR,SSZ,100,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,0.81,2.131,,0.22973,0.513182,25,,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo et al. 2004,Nidar,,CH417,,,Gabbro,WR,SSZ,100,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.279,3.717,,0.2081,0.512979,18,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo et al. 2004,Nidar,,CH404,,,Basaltic andesite,WR,SSZ,100,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.382,3.988,,0.20947,0.512964,12,,6.2,,,,,,,,,,,,,,,,,,,,,,,,,,
Maheo et al. 2004,Spontang,,SP19,,,Diorite,WR,SSZ,100,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.45,4.272,,0.20526,0.512974,17,,6.5,,,,,,,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Tarenben,,S03-b57,,,Basalt,WR,OIB,108,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,4.5,17.4,,0.1566,0.512794,11,,3.6,13.9,568,0.0704,0.705812,14,0.7057,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Tarenben,,S03-b58,,,Basalt,WR,OIB,108,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,7.1,36.2,,0.1184,0.512766,9,,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Mahoney et al. 1998,Xigaze,,YZS-1 -L,,,Basalt,WR,MOR,110,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.515 ,4.005 ,,0.2287 ,0.513095 ,,,8.40,13.2 ,182.2 ,0.2088 ,0.70412 ,,0.70380 ,0.3837 ,0.0375 ,0.0853 ,6.25 ,13.8 ,,17.771 ,15.427 ,37.417 ,17.53,15.42,37.38,,,,,,,,
Mahoney et al. 1998,Xigaze,,YZS-2 -L,,,Basalt,WR,MOR,110,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.274 ,6.246 ,,0.2200 ,0.513075 ,,,8.20,3.89 ,133.1 ,0.0845 ,0.70419 ,,0.70406 ,0.6177 ,0.0763 ,0.108 ,7.88 ,10.7 ,,17.704 ,15.411 ,37.351 ,17.52,15.40,37.31,,,,,,,,
Mahoney et al. 1998,Xigaze,,YZS-3 -L,,,Basalt,WR,MOR,110,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,1.603 ,4.224 ,,0.2294 ,0.513098 ,,,8.50,13.7 ,153.4 ,0.2579 ,0.70432 ,,0.70391 ,0.4667 ,0.0506 ,0.0654 ,6.93 ,8.67 ,,17.697 ,15.426 ,37.421 ,17.55,15.42,37.38,,,,,,,,
Mahoney et al. 1998,Xigaze,,YZS-6 -L,,,Basalt,WR,MOR,110,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,3.173 ,9.214 ,,0.2082 ,0.513059 ,,,8.00,4.11 ,140.0 ,0.0850 ,0.70408 ,,0.70395 ,0.2712 ,0.102 ,0.0644 ,23.9 ,14.7 ,,17.726 ,15.413 ,37.432 ,17.47,15.40,37.30,,,,,,,,
Mahoney et al. 1998,Xigaze,,YZS-7 -L,,,Basalt,WR,MOR,110,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.793 ,7.922 ,,0.2131 ,0.513066 ,,,8.10,6.61 ,130.9 ,0.1461 ,0.70406 ,,0.70383 ,0.2450 ,0.0827 ,0.0807 ,21.6 ,20.4 ,,17.765 ,15.409 ,37.388 ,17.42,15.39,37.27,,,,,,,,
Mahoney et al. 1998,Xigaze,,YZS-11 -L,,,Basalt,WR,MOR,110,Alpine-Himalayan,Tethys,Himalayan,Post-Pangea Formation,2.846 ,8.160 ,,0.2148 ,0.513075 ,,,8.20,0.622 ,129.1 ,0.0139 ,0.70407 ,,0.70405 ,0.2994 ,0.0894 ,0.0546 ,19.0 ,11.2 ,,17.630 ,15.404 ,37.369 ,17.44,15.40,37.27,,,,,,,,
Zhang et al. 2014,Duoma,,S03-b42,,,Basalt,WR,OIB,115,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6.2,29.8,,0.1257,0.512628,10,,0.9,8.2,779,0.0303,0.706988,14,0.70694,,,,,,,,,,,,,,,,,,,,
Zhang et al. 2014,Duoma,,S03-b44,,,Basalt,WR,OIB,115,Bangong-Nujiang,Meso-Tethys,Bangong-Nujiang,Post-Pangea Formation,6,28.7,,0.1269,0.512628,11,,0.8,12.5,743,0.0488,0.705826,11,0.70575,,,,,,,,,,,,,,,,,,,,
